Mine Name,Mine_Type,Overall_Risk_Score,Risk_Category,Risk_Drivers,Confidence_Score,Inspection_Priority,AI_Preventive_Recommendation
Rajpura,Opencast,4.72499013072722,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Rajrappa Project,Opencast,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Rajur UG,Underground,4.72499013072722,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Ramagundam OC-I Extn. Ph-II,Opencast,4.670145255568915,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Ramagundam-OC 3 & OC III,Opencast,27.31483054561598,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Ramakrishnapur OC,Opencast,5.206791945409062,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Ramnagar Colliery,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Rampur Batura,Opencast,23.21951512082023,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Raniatari,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Ravindra Khani-5 Incline,Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Ravindra Khani-6 Incline,Underground,5.206791945409067,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
"Ravindra Khani-7,Incline",Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
"Ravindra Khani-New Tech,",Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Rehar,Underground,5.929494667431849,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Religara,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
ROCP/S. Jharia,Opencast,7.5609561436600305,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Rohini,Opencast,11.470215536273155,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Samleswari OCP,Opencast,34.06005595116192,MEDIUM,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Continue monitoring and conduct a focused review of the identified risk indicators.
Sankarpur Colliery,Underground,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Saoner Mine - II,Underground,4.243188316045365,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Saoner Mine - III,Underground,4.7249901307272175,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Saoner Mine-I,Underground,4.243188316045365,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Saraipali,Underground,2.315981057317958,LOW,Peer production anomaly,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. No immediate high-risk indicator detected; continue routine monitoring.
Sarisatolli Coal Mine,Opencast,17.251837312455386,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Sarni Mine,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Sarubera,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Sasti Expn. OCM,Opencast,18.456341849160022,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Satgram Incline,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Satgram Project,Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Saunda (Ncdc),Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Sayal `D',Opencast,15.269785178569665,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
SD OC Mine,Opencast,0.147872891249615,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Sendra Bansjora,Opencast,8.097602833500185,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Shampur B,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Shanthi Khani,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Sharda Highwall,Underground,3.761386501363512,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Sharda UG,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Shivani,Underground,3.761386501363512,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Shyam Sundarpur Colliery,Underground,3.5204855940225874,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Sial Ghogri Coal Mine,Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Siarmal OCP,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Siduli Colliery,Mixed,5.206791945409067,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Sijua Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Sikni OC Mine,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Silewara Colliery,Underground,4.48408922338629,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Singhali Colliery,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Singori OC,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Sirka,Opencast,2.0750801499770275,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Sonepur Bazari Project OCM,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
South Samla,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Srirampur OC,Opencast,3.279584686681665,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
"Srirampur-1, Incline",Underground,9.54300827754574,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Srirampur-3 & 3A Incline,Underground,9.061206462863892,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Suliyari,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Tadicherla 1 OCM,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Takli Jena Bellora,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Talabira II & III,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Talaipalli Coal Mine,Opencast,100.0,CRITICAL,Operational indicator,60.0,HIGH,Review recent production trends and investigate unusual operational deviations. Prioritize focused inspection and immediate further assessment of the identified risk indicators.
Tandsi,Underground,6.170395574772773,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Tapin North,Opencast,1.11147652061332,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Tapin South,Opencast,2.9838389041824174,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Tara(E&W),Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Tarmi,Opencast,1.7793343674777924,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Tasra Colliery,Opencast,4.243188316045365,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Tawa Mine,Underground,5.206791945409067,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Tawa-II,Underground,5.929494667431849,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Tetaria Khar,Opencast,2.0750801499770275,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Tetulmari,Opencast,4.00228740870444,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Tikak Colliery,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Tilaboni Colliery,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Topa Marginal Scheme,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Trans Damodar Coal Mine,Opencast,5.874649792273537,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Ukni OC,Opencast,2.797782871999805,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Umaria,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Umrer OC Mine,Opencast,21.82895455193299,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Urdhan,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Urimari,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Utkal C Coal Mine,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Utkal D,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Vakilpalli,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Vijay West,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Vindhya,Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Vishnupuri-II,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
West Bokaro OC (Quarry-E & SE),Opencast,5.688593760090928,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
West Bokaro OC Quarry-AB,Opencast,0.3339289234322325,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
West Jhagrakhand,Underground,5.929494667431845,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
